entry,structure,prem_cap,need_cap,delta_floor,trades,wins,win_rate,pnl,pnl_exBANKEX,worst
15:00,ATM,0.2,0.4,0.1,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.4,0.2,4,3,75,16859,16859,-10010
15:00,ATM,0.2,0.4,0.3,4,3,75,16859,16859,-10010
15:00,ATM,0.25,,,8,5,62,93366,5922,-16508
15:00,ATM,0.25,,0.1,8,5,62,93366,5922,-16508
15:00,ATM,0.25,,0.2,8,5,62,93366,5922,-16508
15:00,ATM,0.25,,0.3,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.3,,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.3,0.1,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.3,0.2,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.3,0.3,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.35,,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.35,0.1,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.35,0.2,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.35,0.3,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.4,,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.4,0.1,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.4,0.2,8,5,62,93366,5922,-16508
15:00,ATM,0.25,0.4,0.3,8,5,62,93366,5922,-16508
15:00,ATM,0.3,,,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,,0.1,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,,0.2,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,,0.3,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,0.3,,8,5,62,93366,5922,-16508
15:00,ATM,0.3,0.3,0.1,8,5,62,93366,5922,-16508
15:00,ATM,0.3,0.3,0.2,8,5,62,93366,5922,-16508
15:00,ATM,0.3,0.3,0.3,8,5,62,93366,5922,-16508
15:00,ATM,0.3,0.35,,9,6,67,96660,9216,-16508
15:00,ATM,0.3,0.35,0.1,9,6,67,96660,9216,-16508
15:00,ATM,0.3,0.35,0.2,9,6,67,96660,9216,-16508
15:00,ATM,0.3,0.35,0.3,9,6,67,96660,9216,-16508
15:00,ATM,0.3,0.4,,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,0.4,0.1,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,0.4,0.2,10,6,60,84245,-3199,-16508
15:00,ATM,0.3,0.4,0.3,10,6,60,84245,-3199,-16508
15:00,v1,,,,9,2,22,-15519,3811,-19988
15:00,v1,,,0.1,9,2,22,-15519,3811,-19988
15:00,v1,,,0.2,9,2,22,-15519,3811,-19988
15:00,v1,,,0.3,9,2,22,-15519,3811,-19988
15:00,v1,,0.3,,7,1,14,-56995,-37665,-19988
15:00,v1,,0.3,0.1,7,1,14,-56995,-37665,-19988
15:00,v1,,0.3,0.2,7,1,14,-56995,-37665,-19988
15:00,v1,,0.3,0.3,7,1,14,-56995,-37665,-19988
15:00,v1,,0.35,,8,2,25,-9668,9662,-19988
15:00,v1,,0.35,0.1,8,2,25,-9668,9662,-19988
15:00,v1,,0.35,0.2,8,2,25,-9668,9662,-19988
15:00,v1,,0.35,0.3,8,2,25,-9668,9662,-19988
15:00,v1,,0.4,,9,2,22,-15519,3811,-19988
15:00,v1,,0.4,0.1,9,2,22,-15519,3811,-19988
15:00,v1,,0.4,0.2,9,2,22,-15519,3811,-19988
15:00,v1,,0.4,0.3,9,2,22,-15519,3811,-19988
15:00,v1,0.2,,,8,2,25,-9668,9662,-19988
15:00,v1,0.2,,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.2,,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.2,,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.3,,7,1,14,-56995,-37665,-19988
15:00,v1,0.2,0.3,0.1,7,1,14,-56995,-37665,-19988
15:00,v1,0.2,0.3,0.2,7,1,14,-56995,-37665,-19988
15:00,v1,0.2,0.3,0.3,7,1,14,-56995,-37665,-19988
15:00,v1,0.2,0.35,,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.35,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.35,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.35,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.4,,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.4,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.4,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.2,0.4,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.25,,,8,2,25,-9668,9662,-19988
15:00,v1,0.25,,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.25,,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.25,,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.3,,7,1,14,-56995,-37665,-19988
15:00,v1,0.25,0.3,0.1,7,1,14,-56995,-37665,-19988
15:00,v1,0.25,0.3,0.2,7,1,14,-56995,-37665,-19988
15:00,v1,0.25,0.3,0.3,7,1,14,-56995,-37665,-19988
15:00,v1,0.25,0.35,,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.35,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.35,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.35,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.4,,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.4,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.4,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.25,0.4,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.3,,,9,2,22,-15519,3811,-19988
15:00,v1,0.3,,0.1,9,2,22,-15519,3811,-19988
15:00,v1,0.3,,0.2,9,2,22,-15519,3811,-19988
15:00,v1,0.3,,0.3,9,2,22,-15519,3811,-19988
15:00,v1,0.3,0.3,,7,1,14,-56995,-37665,-19988
15:00,v1,0.3,0.3,0.1,7,1,14,-56995,-37665,-19988
15:00,v1,0.3,0.3,0.2,7,1,14,-56995,-37665,-19988
15:00,v1,0.3,0.3,0.3,7,1,14,-56995,-37665,-19988
15:00,v1,0.3,0.35,,8,2,25,-9668,9662,-19988
15:00,v1,0.3,0.35,0.1,8,2,25,-9668,9662,-19988
15:00,v1,0.3,0.35,0.2,8,2,25,-9668,9662,-19988
15:00,v1,0.3,0.35,0.3,8,2,25,-9668,9662,-19988
15:00,v1,0.3,0.4,,9,2,22,-15519,3811,-19988
15:00,v1,0.3,0.4,0.1,9,2,22,-15519,3811,-19988
15:00,v1,0.3,0.4,0.2,9,2,22,-15519,3811,-19988
15:00,v1,0.3,0.4,0.3,9,2,22,-15519,3811,-19988
15:05,OTM1,,,,12,7,58,128973,27948,-18252
15:05,OTM1,,,0.1,12,7,58,128973,27948,-18252
15:05,OTM1,,,0.2,10,6,60,115957,14932,-18252
15:05,OTM1,,,0.3,8,6,75,145455,44430,-15672
15:05,OTM1,,0.3,,10,6,60,127930,26905,-18252
15:05,OTM1,,0.3,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,,0.3,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,,0.3,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,,0.35,,11,7,64,138941,37916,-18252
15:05,OTM1,,0.35,0.1,11,7,64,138941,37916,-18252
15:05,OTM1,,0.35,0.2,9,6,67,125925,24900,-18252
15:05,OTM1,,0.35,0.3,7,6,86,155423,54398,-15672
15:05,OTM1,,0.4,,11,7,64,138941,37916,-18252
15:05,OTM1,,0.4,0.1,11,7,64,138941,37916,-18252
15:05,OTM1,,0.4,0.2,9,6,67,125925,24900,-18252
15:05,OTM1,,0.4,0.3,7,6,86,155423,54398,-15672
15:05,OTM1,0.2,,,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.2,,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.2,0.3,,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.3,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.3,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.2,0.3,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.2,0.35,,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.35,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.35,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.2,0.35,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.2,0.4,,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.4,0.1,10,6,60,127930,26905,-18252
15:05,OTM1,0.2,0.4,0.2,8,5,62,114914,13889,-18252
15:05,OTM1,0.2,0.4,0.3,6,5,83,144412,43387,-15672
15:05,OTM1,0.25,,,10,6,60,127930,26905,-18252
