ts,offset,side,strike,spot,close,volume,oi,iv
2026-09-03 10:50:00,ATM-3,PE,76400.0,76722.83,273.65,5580,46780,11.041715
2026-09-03 10:50:00,ATM-2,PE,76500.0,76722.83,306.05,19060,190480,10.946584
2026-09-03 10:50:00,ATM-1,PE,76600.0,76722.83,343.1,6800,52000,10.890618
2026-09-03 10:50:00,ATM,PE,76700.0,76722.83,380.0,8300,50700,10.755369
2026-09-03 10:50:00,ATM+1,PE,76800.0,76722.83,422.4,5300,82560,10.672692
2026-09-03 10:50:00,ATM+2,PE,76900.0,76722.83,469.05,7100,58040,10.609619
2026-09-03 10:50:00,ATM+3,PE,77000.0,76722.83,520.0,9740,253040,10.565759
2026-09-03 10:55:00,ATM-3,CE,76400.0,76748.47,745.95,2880,23660,10.584465
2026-09-03 10:55:00,ATM-2,CE,76500.0,76748.47,682.25,8300,170980,10.615352
2026-09-03 10:55:00,ATM-1,CE,76600.0,76748.47,616.5,2140,25820,10.515459
2026-09-03 10:55:00,ATM,CE,76700.0,76748.47,556.0,14240,41340,10.463873
2026-09-03 10:55:00,ATM+1,CE,76800.0,76748.47,494.0,7340,77780,10.297529
2026-09-03 10:55:00,ATM+2,CE,76900.0,76748.47,443.1,2820,65920,10.309175
2026-09-03 10:55:00,ATM+3,CE,77000.0,76748.47,389.6,45680,320600,10.176663
2026-09-03 10:55:00,ATM-3,PE,76400.0,76748.47,271.1,2060,46600,11.199585
2026-09-03 10:55:00,ATM-2,PE,76500.0,76748.47,301.95,27620,195100,11.080553
2026-09-03 10:55:00,ATM-1,PE,76600.0,76748.47,336.0,3920,53380,10.968784
2026-09-03 10:55:00,ATM,PE,76700.0,76748.47,376.65,16720,54860,10.940417
2026-09-03 10:55:00,ATM+1,PE,76800.0,76748.47,416.65,11640,81680,10.819814
2026-09-03 10:55:00,ATM+2,PE,76900.0,76748.47,460.6,4080,59600,10.713889
2026-09-03 10:55:00,ATM+3,PE,77000.0,76748.47,513.65,34760,252300,10.740179
2026-09-03 11:00:00,ATM-3,CE,76400.0,76721.46,741.0,1740,24140,10.920589
2026-09-03 11:00:00,ATM-2,CE,76500.0,76721.46,670.0,4380,170100,10.739661
2026-09-03 11:00:00,ATM-1,CE,76600.0,76721.46,612.1,3080,27940,10.80391
2026-09-03 11:00:00,ATM,CE,76700.0,76721.46,549.6,6900,42440,10.678453
2026-09-03 11:00:00,ATM+1,CE,76800.0,76721.46,490.05,6560,81840,10.545235
2026-09-03 11:00:00,ATM+2,CE,76900.0,76721.46,435.45,1420,66300,10.44754
2026-09-03 11:00:00,ATM+3,CE,77000.0,76721.46,384.8,9700,322880,10.359455
2026-09-03 11:00:00,ATM-3,PE,76400.0,76721.46,274.0,500,46820,11.042763
2026-09-03 11:00:00,ATM-2,PE,76500.0,76721.46,311.85,9440,196780,11.080194
2026-09-03 11:00:00,ATM-1,PE,76600.0,76721.46,343.5,2620,54120,10.890736
2026-09-03 11:00:00,ATM,PE,76700.0,76721.46,386.3,9040,58260,10.893347
2026-09-03 11:00:00,ATM+1,PE,76800.0,76721.46,430.0,7000,85020,10.838485
2026-09-03 11:00:00,ATM+2,PE,76900.0,76721.46,476.35,2720,59780,10.766797
2026-09-03 11:00:00,ATM+3,PE,77000.0,76721.46,526.75,12380,253220,10.709597
2026-09-03 11:05:00,ATM-3,CE,76300.0,76640.7,763.0,2120,17500,11.177966
